No.,Material,Density Measurement Method,Atmosphere,Printed Geom.,Laser Power (W),Scan Speed (mm/s),Hatch space (mm),Layer thickness (mm),Spot size (mm),Geometric Factor,D50 μm,RD (%),Printer Model,DOI,Density (g/cm^3),Specific Heat Capacity (J/kgK),Thermal Conductivity (W/mK),Melting Point (K)
394,IN718,Archimedes method,Nitrogen,Prismatic,370.0,700.0,0.08,0.04,0.4,89.99468307692308,30.0,98.34,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
395,IN718,Archimedes method,Nitrogen,Prismatic,370.0,800.0,0.08,0.04,0.4,89.99468307692308,30.0,98.97,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
396,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1000.0,0.08,0.04,0.4,89.99468307692308,30.0,98.78,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
397,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1200.0,0.08,0.04,0.4,89.99468307692308,30.0,98.51,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
398,IN718,Archimedes method,Nitrogen,Prismatic,170.0,500.0,0.1,0.04,0.4,89.99468307692308,30.0,98.38,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
399,IN718,Archimedes method,Nitrogen,Prismatic,170.0,600.0,0.1,0.04,0.4,89.99468307692308,30.0,98.39,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
400,IN718,Archimedes method,Nitrogen,Prismatic,170.0,700.0,0.1,0.04,0.4,89.99468307692308,30.0,98.53,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
401,IN718,Archimedes method,Nitrogen,Prismatic,170.0,800.0,0.1,0.04,0.4,89.99468307692308,30.0,99.02,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
402,IN718,Archimedes method,Nitrogen,Prismatic,170.0,1000.0,0.1,0.04,0.4,89.99468307692308,30.0,98.26,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
403,IN718,Archimedes method,Nitrogen,Prismatic,170.0,1200.0,0.1,0.04,0.4,89.99468307692308,30.0,96.14,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
404,IN718,Archimedes method,Nitrogen,Prismatic,220.0,500.0,0.1,0.04,0.4,89.99468307692308,30.0,98.85,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
405,IN718,Archimedes method,Nitrogen,Prismatic,220.0,600.0,0.1,0.04,0.4,89.99468307692308,30.0,98.84,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
406,IN718,Archimedes method,Nitrogen,Prismatic,220.0,700.0,0.1,0.04,0.4,89.99468307692308,30.0,98.73,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
407,IN718,Archimedes method,Nitrogen,Prismatic,220.0,800.0,0.1,0.04,0.4,89.99468307692308,30.0,98.92,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
408,IN718,Archimedes method,Nitrogen,Prismatic,220.0,1000.0,0.1,0.04,0.4,89.99468307692308,30.0,98.74,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
409,IN718,Archimedes method,Nitrogen,Prismatic,220.0,1200.0,0.1,0.04,0.4,89.99468307692308,30.0,98.49,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
410,IN718,Archimedes method,Nitrogen,Prismatic,270.0,500.0,0.1,0.04,0.4,89.99468307692308,30.0,98.75,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
411,IN718,Archimedes method,Nitrogen,Prismatic,270.0,600.0,0.1,0.04,0.4,89.99468307692308,30.0,99.13,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
412,IN718,Archimedes method,Nitrogen,Prismatic,270.0,700.0,0.1,0.04,0.4,89.99468307692308,30.0,99.56,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
413,IN718,Archimedes method,Nitrogen,Prismatic,270.0,800.0,0.1,0.04,0.4,89.99468307692308,30.0,99.05,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
414,IN718,Archimedes method,Nitrogen,Prismatic,270.0,1000.0,0.1,0.04,0.4,89.99468307692308,30.0,98.45,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
415,IN718,Archimedes method,Nitrogen,Prismatic,270.0,1200.0,0.1,0.04,0.4,89.99468307692308,30.0,98.73,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
416,IN718,Archimedes method,Nitrogen,Prismatic,320.0,500.0,0.1,0.04,0.4,89.99468307692308,30.0,98.16,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
417,IN718,Archimedes method,Nitrogen,Prismatic,320.0,600.0,0.1,0.04,0.4,89.99468307692308,30.0,98.62,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
418,IN718,Archimedes method,Nitrogen,Prismatic,320.0,700.0,0.1,0.04,0.4,89.99468307692308,30.0,99.05,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
419,IN718,Archimedes method,Nitrogen,Prismatic,320.0,800.0,0.1,0.04,0.4,89.99468307692308,30.0,98.64,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
420,IN718,Archimedes method,Nitrogen,Prismatic,320.0,1000.0,0.1,0.04,0.4,89.99468307692308,30.0,98.74,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
421,IN718,Archimedes method,Nitrogen,Prismatic,320.0,1200.0,0.1,0.04,0.4,89.99468307692308,30.0,98.13,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
422,IN718,Archimedes method,Nitrogen,Prismatic,370.0,500.0,0.1,0.04,0.4,89.99468307692308,30.0,98.44,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
423,IN718,Archimedes method,Nitrogen,Prismatic,370.0,600.0,0.1,0.04,0.4,89.99468307692308,30.0,98.34,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
424,IN718,Archimedes method,Nitrogen,Prismatic,370.0,700.0,0.1,0.04,0.4,89.99468307692308,30.0,99.02,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
425,IN718,Archimedes method,Nitrogen,Prismatic,370.0,800.0,0.1,0.04,0.4,89.99468307692308,30.0,98.17,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
426,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1000.0,0.1,0.04,0.4,89.99468307692308,30.0,98.45,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
427,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1200.0,0.1,0.04,0.4,89.99468307692308,30.0,98.38,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
428,IN718,Archimedes method,Nitrogen,Prismatic,170.0,500.0,0.12,0.04,0.4,89.99468307692308,30.0,98.12,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
429,IN718,Archimedes method,Nitrogen,Prismatic,170.0,600.0,0.12,0.04,0.4,89.99468307692308,30.0,98.55,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
430,IN718,Archimedes method,Nitrogen,Prismatic,170.0,700.0,0.12,0.04,0.4,89.99468307692308,30.0,98.56,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
431,IN718,Archimedes method,Nitrogen,Prismatic,170.0,800.0,0.12,0.04,0.4,89.99468307692308,30.0,98.4,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
432,IN718,Archimedes method,Nitrogen,Prismatic,170.0,1000.0,0.12,0.04,0.4,89.99468307692308,30.0,96.49,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
433,IN718,Archimedes method,Nitrogen,Prismatic,170.0,1200.0,0.12,0.04,0.4,89.99468307692308,30.0,93.11,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
434,IN718,Archimedes method,Nitrogen,Prismatic,220.0,500.0,0.12,0.04,0.4,89.99468307692308,30.0,98.45,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
435,IN718,Archimedes method,Nitrogen,Prismatic,220.0,600.0,0.12,0.04,0.4,89.99468307692308,30.0,98.81,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
436,IN718,Archimedes method,Nitrogen,Prismatic,220.0,700.0,0.12,0.04,0.4,89.99468307692308,30.0,98.41,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
437,IN718,Archimedes method,Nitrogen,Prismatic,220.0,800.0,0.12,0.04,0.4,89.99468307692308,30.0,98.7,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
438,IN718,Archimedes method,Nitrogen,Prismatic,220.0,1000.0,0.12,0.04,0.4,89.99468307692308,30.0,98.63,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
439,IN718,Archimedes method,Nitrogen,Prismatic,220.0,1200.0,0.12,0.04,0.4,89.99468307692308,30.0,97.47,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
440,IN718,Archimedes method,Nitrogen,Prismatic,270.0,500.0,0.12,0.04,0.4,89.99468307692308,30.0,98.66,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
441,IN718,Archimedes method,Nitrogen,Prismatic,270.0,600.0,0.12,0.04,0.4,89.99468307692308,30.0,99.01,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
442,IN718,Archimedes method,Nitrogen,Prismatic,270.0,700.0,0.12,0.04,0.4,89.99468307692308,30.0,98.79,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
443,IN718,Archimedes method,Nitrogen,Prismatic,270.0,800.0,0.12,0.04,0.4,89.99468307692308,30.0,98.82,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
444,IN718,Archimedes method,Nitrogen,Prismatic,270.0,1000.0,0.12,0.04,0.4,89.99468307692308,30.0,98.53,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
445,IN718,Archimedes method,Nitrogen,Prismatic,270.0,1200.0,0.12,0.04,0.4,89.99468307692308,30.0,98.51,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
446,IN718,Archimedes method,Nitrogen,Prismatic,320.0,500.0,0.12,0.04,0.4,89.99468307692308,30.0,98.16,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
447,IN718,Archimedes method,Nitrogen,Prismatic,320.0,600.0,0.12,0.04,0.4,89.99468307692308,30.0,99.17,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
448,IN718,Archimedes method,Nitrogen,Prismatic,320.0,700.0,0.12,0.04,0.4,89.99468307692308,30.0,99.06,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
449,IN718,Archimedes method,Nitrogen,Prismatic,320.0,800.0,0.12,0.04,0.4,89.99468307692308,30.0,98.92,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
450,IN718,Archimedes method,Nitrogen,Prismatic,320.0,1000.0,0.12,0.04,0.4,89.99468307692308,30.0,98.74,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
451,IN718,Archimedes method,Nitrogen,Prismatic,320.0,1200.0,0.12,0.04,0.4,89.99468307692308,30.0,98.62,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
452,IN718,Archimedes method,Nitrogen,Prismatic,370.0,500.0,0.12,0.04,0.4,89.99468307692308,30.0,97.92,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
453,IN718,Archimedes method,Nitrogen,Prismatic,370.0,600.0,0.12,0.04,0.4,89.99468307692308,30.0,98.07,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
454,IN718,Archimedes method,Nitrogen,Prismatic,370.0,700.0,0.12,0.04,0.4,89.99468307692308,30.0,98.45,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
455,IN718,Archimedes method,Nitrogen,Prismatic,370.0,800.0,0.12,0.04,0.4,89.99468307692308,30.0,98.16,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
456,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1000.0,0.12,0.04,0.4,89.99468307692308,30.0,98.32,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
457,IN718,Archimedes method,Nitrogen,Prismatic,370.0,1200.0,0.12,0.04,0.4,89.99468307692308,30.0,98.11,EOS M280,https://doi.org/10.1016/j.matdes.2020.108818,8.19,435.0,11.4,1571.15
458,IN718,Image analysis,Argon,Prismatic,90.0,100.0,0.08,0.025,0.11,7.989026063100138,22.5,94.032,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
459,IN718,Image analysis,Argon,Prismatic,90.0,200.0,0.08,0.025,0.11,7.989026063100138,22.5,99.026,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
460,IN718,Image analysis,Argon,Prismatic,90.0,300.0,0.08,0.025,0.11,7.989026063100138,22.5,99.4497,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
461,IN718,Image analysis,Argon,Prismatic,90.0,400.0,0.08,0.025,0.11,7.989026063100138,22.5,99.619,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
462,IN718,Image analysis,Argon,Prismatic,90.0,600.0,0.08,0.025,0.11,7.989026063100138,22.5,99.492,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
463,IN718,Image analysis,Argon,Prismatic,90.0,800.0,0.08,0.025,0.11,7.989026063100138,22.5,99.704,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
464,IN718,Image analysis,Argon,Prismatic,90.0,1200.0,0.08,0.025,0.11,7.989026063100138,22.5,96.19,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
465,IN718,Image analysis,Argon,Prismatic,90.0,1600.0,0.08,0.025,0.11,7.989026063100138,22.5,86.37,Mlab Concept Laser,http://dx.doi.org/10.1016/j.powtec.2017.01.030,8.19,435.0,11.4,1571.15
466,IN718,Image analysis,Argon,Prismatic,150.0,1200.0,0.15,0.02,0.1,3.999999702325582,22.5,87.7,EOS M270,https://doi.org/10.1016/j.jallcom.2017.07.198,8.19,435.0,11.4,1571.15
467,IN718,Image analysis,Argon,Prismatic,150.0,2000.0,0.2,0.02,0.1,3.999999702325582,22.5,90.4,EOS M270,https://doi.org/10.1016/j.jallcom.2017.07.198,8.19,435.0,11.4,1571.15
468,IN718,Image analysis,Argon,Prismatic,100.0,2000.0,0.2,0.02,0.1,3.999999702325582,22.5,89.6,EOS M270,https://doi.org/10.1016/j.jallcom.2017.07.198,8.19,435.0,11.4,1571.15
469,IN718,Image analysis,Argon,Prismatic,150.0,2000.0,0.25,0.02,0.1,3.999999702325582,22.5,88.7,EOS M270,https://doi.org/10.1016/j.jallcom.2017.07.198,8.19,435.0,11.4,1571.15
470,IN718,Image analysis,Argon,Prismatic,245.0,755.0,0.09,0.05,0.081,0.9999999650545149,37.4,99.73,SLM-280HL,http://www.scientific.net/AMM.698.333,8.19,435.0,11.4,1571.15
471,IN718,Archimedes method,Argon,Prismatic,150.0,800.0,0.06,0.03,0.07,24.83333333333333,29.56,99.12,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
472,IN718,Archimedes method,Argon,Prismatic,150.0,900.0,0.07,0.03,0.07,24.83333333333333,29.56,99.26,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
473,IN718,Archimedes method,Argon,Prismatic,150.0,1000.0,0.08,0.03,0.07,24.83333333333333,29.56,96.13,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
474,IN718,Archimedes method,Argon,Prismatic,150.0,1100.0,0.09,0.03,0.07,24.83333333333333,29.56,95.43,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
475,IN718,Archimedes method,Argon,Prismatic,150.0,1200.0,0.1,0.03,0.07,24.83333333333333,29.56,92.28,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
476,IN718,Archimedes method,Argon,Prismatic,160.0,800.0,0.07,0.03,0.07,24.83333333333333,29.56,99.68,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
477,IN718,Archimedes method,Argon,Prismatic,160.0,900.0,0.08,0.03,0.07,24.83333333333333,29.56,98.33,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
478,IN718,Archimedes method,Argon,Prismatic,160.0,1000.0,0.09,0.03,0.07,24.83333333333333,29.56,97.55,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
479,IN718,Archimedes method,Argon,Prismatic,160.0,1100.0,0.1,0.03,0.07,24.83333333333333,29.56,94.48,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
480,IN718,Archimedes method,Argon,Prismatic,160.0,1200.0,0.06,0.03,0.07,24.83333333333333,29.56,98.62,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
481,IN718,Archimedes method,Argon,Prismatic,170.0,800.0,0.08,0.03,0.07,24.83333333333333,29.56,99.57,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
482,IN718,Archimedes method,Argon,Prismatic,170.0,900.0,0.09,0.03,0.07,24.83333333333333,29.56,98.63,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
483,IN718,Archimedes method,Argon,Prismatic,170.0,1000.0,0.1,0.03,0.07,24.83333333333333,29.56,97.43,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
484,IN718,Archimedes method,Argon,Prismatic,170.0,1100.0,0.06,0.03,0.07,24.83333333333333,29.56,99.23,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
485,IN718,Archimedes method,Argon,Prismatic,170.0,1200.0,0.07,0.03,0.07,24.83333333333333,29.56,97.55,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
486,IN718,Archimedes method,Argon,Prismatic,180.0,800.0,0.09,0.03,0.07,24.83333333333333,29.56,99.15,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
487,IN718,Archimedes method,Argon,Prismatic,180.0,900.0,0.1,0.03,0.07,24.83333333333333,29.56,98.02,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
488,IN718,Archimedes method,Argon,Prismatic,180.0,1000.0,0.06,0.03,0.07,24.83333333333333,29.56,99.53,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
489,IN718,Archimedes method,Argon,Prismatic,180.0,1100.0,0.07,0.03,0.07,24.83333333333333,29.56,98.92,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
490,IN718,Archimedes method,Argon,Prismatic,180.0,1200.0,0.08,0.03,0.07,24.83333333333333,29.56,98.21,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
491,IN718,Archimedes method,Argon,Prismatic,190.0,800.0,0.1,0.03,0.07,24.83333333333333,29.56,98.5,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
492,IN718,Archimedes method,Argon,Prismatic,190.0,900.0,0.06,0.03,0.07,24.83333333333333,29.56,98.92,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
493,IN718,Archimedes method,Argon,Prismatic,190.0,1000.0,0.07,0.03,0.07,24.83333333333333,29.56,99.43,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
494,IN718,Archimedes method,Argon,Prismatic,190.0,1100.0,0.08,0.03,0.07,24.83333333333333,29.56,97.88,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
495,IN718,Archimedes method,Argon,Prismatic,190.0,1200.0,0.09,0.03,0.07,24.83333333333333,29.56,96.84,DiMetal-100,https://doi.org/10.3390/cryst12091243,8.19,435.0,11.4,1571.15
496,IN718,Archimedes method,Nitrogen,Prismatic,320.0,700.0,0.12,0.05,0.2,8.99866382495777,22.5,99.7,Lumex Avance 25,https://doi.org/10.1016/j.matchar.2021.111379,8.19,435.0,11.4,1571.15
497,IN718,Archimedes method,Nitrogen,Prismatic,150.0,1500.0,0.14,0.04,0.1,41.99793230769231,32.0,81.44,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
498,IN718,Archimedes method,Nitrogen,Prismatic,160.0,1400.0,0.14,0.04,0.1,41.99793230769231,32.0,83.26,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
499,IN718,Archimedes method,Nitrogen,Prismatic,150.0,900.0,0.1,0.046,0.1,41.99793230769231,32.0,97.16,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
500,IN718,Archimedes method,Nitrogen,Prismatic,200.0,750.0,0.08,0.038,0.1,41.99793230769231,32.0,98.19,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
501,IN718,Archimedes method,Nitrogen,Prismatic,200.0,750.0,0.12,0.038,0.1,41.99793230769231,32.0,98.11,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
502,IN718,Archimedes method,Nitrogen,Prismatic,200.0,750.0,0.12,0.054,0.1,41.99793230769231,32.0,98.19,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
503,IN718,Archimedes method,Nitrogen,Prismatic,200.0,1050.0,0.08,0.038,0.1,41.99793230769231,32.0,97.73,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
504,IN718,Archimedes method,Nitrogen,Prismatic,200.0,1050.0,0.08,0.054,0.1,41.99793230769231,32.0,97.54,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
505,IN718,Archimedes method,Nitrogen,Prismatic,200.0,1050.0,0.12,0.038,0.1,41.99793230769231,32.0,96.34,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
506,IN718,Archimedes method,Nitrogen,Prismatic,200.0,1050.0,0.12,0.054,0.1,41.99793230769231,32.0,95.79,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
507,IN718,Archimedes method,Nitrogen,Prismatic,250.0,600.0,0.1,0.046,0.1,41.99793230769231,32.0,98.04,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
508,IN718,Archimedes method,Nitrogen,Prismatic,250.0,900.0,0.06,0.046,0.1,41.99793230769231,32.0,98.19,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
509,IN718,Archimedes method,Nitrogen,Prismatic,250.0,900.0,0.1,0.03,0.1,41.99793230769231,32.0,98.1,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
510,IN718,Archimedes method,Nitrogen,Prismatic,250.0,900.0,0.1,0.046,0.1,41.99793230769231,32.0,99.47,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
511,IN718,Archimedes method,Nitrogen,Prismatic,250.0,900.0,0.1,0.062,0.1,41.99793230769231,32.0,97.79,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
512,IN718,Archimedes method,Nitrogen,Prismatic,250.0,900.0,0.14,0.046,0.1,41.99793230769231,32.0,98.15,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
513,IN718,Archimedes method,Nitrogen,Prismatic,250.0,1200.0,0.1,0.046,0.1,41.99793230769231,32.0,98.24,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
514,IN718,Archimedes method,Nitrogen,Prismatic,300.0,750.0,0.08,0.038,0.1,41.99793230769231,32.0,98.68,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
515,IN718,Archimedes method,Nitrogen,Prismatic,300.0,750.0,0.08,0.054,0.1,41.99793230769231,32.0,97.73,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
516,IN718,Archimedes method,Nitrogen,Prismatic,300.0,750.0,0.12,0.038,0.1,41.99793230769231,32.0,97.87,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
517,IN718,Archimedes method,Nitrogen,Prismatic,300.0,750.0,0.12,0.054,0.1,41.99793230769231,32.0,98.24,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
518,IN718,Archimedes method,Nitrogen,Prismatic,300.0,1050.0,0.08,0.038,0.1,41.99793230769231,32.0,97.8,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
519,IN718,Archimedes method,Nitrogen,Prismatic,300.0,1050.0,0.08,0.054,0.1,41.99793230769231,32.0,97.45,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
520,IN718,Archimedes method,Nitrogen,Prismatic,300.0,1050.0,0.12,0.054,0.1,41.99793230769231,32.0,96.76,EOS M290,https://doi.org/10.1016/j.jclepro.2022.133284,8.19,435.0,11.4,1571.15
